,0
0,1.786259932957479e-10
1,2.2674625684038782e-10
2,2.7486652038502777e-10
3,3.2298678392966767e-10
4,3.7110704747430757e-10
5,4.1922731101894747e-10
6,4.673475745635875e-10
7,5.154678381082274e-10
8,5.635881016528673e-10
9,6.117083651975072e-10
10,6.598286287421471e-10
11,7.079488922867871e-10
12,7.56069155831427e-10
13,8.041894193760669e-10
14,8.523096829207069e-10
15,9.004299464653468e-10
16,9.485502100099867e-10
17,9.966704735546266e-10
18,1.0447907370992665e-09
19,1.0929110006439066e-09
20,1.1410312641885463e-09
21,1.1891515277331864e-09
22,1.2372717912778263e-09
23,1.2853920548224662e-09
24,1.333512318367106e-09
25,1.381632581911746e-09
26,1.4297528454563858e-09
27,1.4778731090010257e-09
28,1.5259933725456659e-09
29,1.5741136360903057e-09
30,1.6222338996349456e-09
31,1.6703541631795855e-09
32,1.7184744267242254e-09
33,1.7665946902688653e-09
34,1.8147149538135052e-09
35,1.862835217358145e-09
36,1.9109554809027852e-09
37,1.9590757444474253e-09
38,2.007196007992065e-09
39,2.055316271536705e-09
40,2.103436535081345e-09
41,2.151556798625985e-09
42,2.199677062170625e-09
43,2.2477973257152647e-09
44,2.295917589259905e-09
45,2.3440378528045445e-09
46,2.3921581163491846e-09
47,2.4402783798938243e-09
48,2.4883986434384644e-09
49,2.5365189069831045e-09
50,2.5846391705277442e-09
51,2.6327594340723843e-09
52,2.680879697617024e-09
53,2.728999961161664e-09
54,2.777120224706304e-09
55,2.825240488250944e-09
56,2.873360751795584e-09
57,2.9214810153402237e-09
58,2.969601278884864e-09
59,3.0177215424295035e-09
60,3.0658418059741436e-09
61,3.1139620695187833e-09
62,3.1620823330634234e-09
63,3.210202596608063e-09
64,3.2583228601527032e-09
65,3.3064431236973433e-09
66,3.354563387241983e-09
67,3.402683650786623e-09
68,3.450803914331263e-09
69,3.498924177875903e-09
70,3.5470444414205426e-09
71,3.5951647049651827e-09
72,3.6432849685098224e-09
73,3.6914052320544625e-09
74,3.739525495599102e-09
75,3.787645759143742e-09
76,3.8357660226883824e-09
77,3.883886286233022e-09
78,3.932006549777662e-09
79,3.980126813322302e-09
80,4.028247076866941e-09
81,4.076367340411581e-09
82,4.124487603956221e-09
83,4.1726078675008615e-09
84,4.220728131045502e-09
85,4.268848394590141e-09
86,4.316968658134781e-09
87,4.365088921679421e-09
88,4.413209185224061e-09
89,4.461329448768701e-09
90,4.5094497123133406e-09
91,4.557569975857981e-09
92,4.605690239402621e-09
93,4.653810502947261e-09
94,4.7019307664919e-09
95,4.75005103003654e-09
96,4.79817129358118e-09
97,4.8462915571258205e-09
98,4.894411820670461e-09
99,4.9425320842151e-09
