,0
0,5
1,19
2,76
3,102
4,156
5,233
6,274
7,290
8,300
9,315
10,340
11,342
12,313
13,348
14,342
15,336
16,352
17,303
18,299
19,278
20,286
21,274
22,241
23,245
24,252
25,227
26,244
27,203
28,212
29,226
30,192
31,174
32,196
33,156
34,167
35,139
36,162
37,136
38,147
39,114
40,125
41,128
42,107
43,109
44,126
45,104
46,105
47,100
48,94
49,83
50,78
51,82
52,80
53,99
54,90
55,83
56,82
57,65
58,47
59,59
60,44
61,16
62,11
63,5
64,7
65,3
66,4
67,6
68,10
69,6
70,3
71,4
72,3
73,4
74,7
75,0
76,3
77,11
78,4
79,2
80,3
81,3
82,2
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
