,0
0,1.0
1,0.38936507710546214
2,0.18569160301505097
3,0.09585309930580004
4,0.0539048374751035
5,0.03246271394043753
6,0.02014496830704881
7,0.013200033429366799
8,0.008836818497692984
9,0.006005112624337774
10,0.004222546987050924
11,0.0029663099143331356
12,0.0022066489544181967
13,0.001640308649835447
14,0.0012251620255219274
15,0.0009327320246049603
16,0.0007186713061913999
17,0.000548848070203381
18,0.00043520256358954074
19,0.00034246978887615557
20,0.0002734158584410761
21,0.00021891824150933173
22,0.00017546173075432472
23,0.0001407509015523605
24,0.00011338256401434527
25,9.180019109228567e-05
26,7.6089168442391e-05
27,6.239424630048866e-05
28,5.223809975516323e-05
29,4.3776321769685565e-05
30,3.648424808162878e-05
31,3.033905738193779e-05
32,2.5504818367061358e-05
33,2.1449855911320203e-05
34,1.8217054956359357e-05
35,1.5213673516254392e-05
36,1.2805508562365831e-05
37,1.0960628654381417e-05
38,9.303055985468344e-06
39,7.92737065387208e-06
40,6.725697934525004e-06
41,5.642411256319253e-06
42,4.796581711987649e-06
43,4.070584044388772e-06
44,3.5784974188987696e-06
45,3.0503256673564483e-06
46,2.6199607653667506e-06
47,2.328178167092823e-06
48,2.026134300778502e-06
49,1.7183881112813711e-06
50,1.4913696103379915e-06
51,1.302725107825699e-06
52,1.1096959041208912e-06
53,9.872849258761413e-07
54,8.500702276085984e-07
55,7.49549699869798e-07
56,6.448863866866641e-07
57,5.584323972192432e-07
