,0
0,9
1,19
2,66
3,104
4,132
5,176
6,217
7,237
8,223
9,273
10,246
11,225
12,239
13,257
14,249
15,257
16,243
17,202
18,207
19,190
20,186
21,200
22,208
23,180
24,186
25,170
26,150
27,136
28,160
29,144
30,114
31,135
32,124
33,131
34,109
35,118
36,98
37,108
38,110
39,106
40,83
41,84
42,104
43,116
44,105
45,77
46,79
47,75
48,69
49,59
50,61
51,79
52,74
53,67
54,61
55,61
56,61
57,72
58,53
59,40
60,21
61,7
62,7
63,7
64,6
65,7
66,1
67,5
68,4
69,3
70,2
71,3
72,2
73,8
74,4
75,5
76,2
77,5
78,2
79,2
80,4
81,2
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
