MiePlot v4.6.21

Date & Time: 9/27/2023 6:04:09 PM 

Calculation Method:         Mie (plane wave)

Graph type: Qext/Qsca/Qabs v. wavelength

Radius: 0.152 um

Wavelength (nm)	RI (Real + Imag)		Medium RI	Qext	Qsca	Qabs
 400 	 1.57 	 0.0000000152 	 1.33 	 0.598694322200582 	 0.598694200608281 	 1.21592300783568E-07 
 400.404845 	 1.57 	 0.0000000152 	 1.33 	 0.597380450410763 	 0.597380328963065 	 1.21447698342436E-07 
 400.8101 	 1.57 	 0.0000000152 	 1.33 	 0.596070110889037 	 0.596069989585738 	 1.21303298739051E-07 
 401.215765 	 1.57 	 0.0000000152 	 1.33 	 0.594763298102975 	 0.59476317694387 	 1.21159104748969E-07 
 401.621841 	 1.57 	 0.0000000152 	 1.33 	 0.593460006082109 	 0.59345988506699 	 1.21015118814682E-07 
 402.028327 	 1.57 	 0.0000000152 	 1.33 	 0.592160228421187 	 0.592160107549843 	 1.20871343933793E-07 
 402.435225 	 1.57 	 0.0000000152 	 1.33 	 0.590863958283595 	 0.590863837555812 	 1.20727783325947E-07 
 402.842535 	 1.57 	 0.0000000152 	 1.33 	 0.589571188404958 	 0.589571067820519 	 1.20584438434435E-07 
 403.250257 	 1.57 	 0.0000000152 	 1.33 	 0.588281911096894 	 0.588281790655582 	 1.20441312145836E-07 
 403.658392 	 1.57 	 0.0000000152 	 1.33 	 0.586996118250925 	 0.586995997952518 	 1.20298407235708E-07 
 404.06694 	 1.57 	 0.0000000152 	 1.33 	 0.585713801342548 	 0.585713681186823 	 1.20155725702453E-07 
 404.475901 	 1.57 	 0.0000000152 	 1.33 	 0.584434951435449 	 0.584434831422179 	 1.20013270543673E-07 
 404.885276 	 1.57 	 0.0000000152 	 1.33 	 0.583159559185877 	 0.583159439314833 	 1.19871043646747E-07 
 405.295066 	 1.57 	 0.0000000152 	 1.33 	 0.581887614847147 	 0.581887495118099 	 1.19729047787231E-07 
 405.70527 	 1.57 	 0.0000000152 	 1.33 	 0.580619108274292 	 0.580618988687006 	 1.19587285518641E-07 
 406.115889 	 1.57 	 0.0000000152 	 1.33 	 0.579354028928848 	 0.57935390948309 	 1.1944575806222E-07 
 406.526924 	 1.57 	 0.0000000152 	 1.33 	 0.578092365883775 	 0.578092246579306 	 1.1930446885966E-07 
 406.938376 	 1.57 	 0.0000000152 	 1.33 	 0.5768341078285 	 0.576833988665081 	 1.19163419576296E-07 
 407.350243 	 1.57 	 0.0000000152 	 1.33 	 0.575579243074086 	 0.575579124051474 	 1.19022612321551E-07 
 407.762527 	 1.57 	 0.0000000152 	 1.33 	 0.574327759558529 	 0.574327640676479 	 1.18882049426894E-07 
 408.175229 	 1.57 	 0.0000000152 	 1.33 	 0.573079644852164 	 0.573079526110431 	 1.18741732779704E-07 
 408.588348 	 1.57 	 0.0000000152 	 1.33 	 0.57183488616318 	 0.571834767561515 	 1.18601664933493E-07 
 409.001886 	 1.57 	 0.0000000152 	 1.33 	 0.570593470343267 	 0.570593351881419 	 1.18461847442575E-07 
 409.415842 	 1.57 	 0.0000000152 	 1.33 	 0.56935538389333 	 0.569355265571048 	 1.18322282083305E-07 
 409.830217 	 1.57 	 0.0000000152 	 1.33 	 0.568120612969349 	 0.568120494786377 	 1.18182971298175E-07 
 410.245011 	 1.57 	 0.0000000152 	 1.33 	 0.566889143388301 	 0.566889025344384 	 1.18043916752519E-07 
 410.660226 	 1.57 	 0.0000000152 	 1.33 	 0.565660960634186 	 0.565660842729066 	 1.17905120555761E-07 
 411.07586 	 1.57 	 0.0000000152 	 1.33 	 0.564436049864162 	 0.564435932097578 	 1.17766583596079E-07 
 411.491915 	 1.57 	 0.0000000152 	 1.33 	 0.563214395914731 	 0.563214278286422 	 1.17628308982098E-07 
 411.908391 	 1.57 	 0.0000000152 	 1.33 	 0.561995983308045 	 0.561995865817748 	 1.17490297046885E-07 
 412.325289 	 1.57 	 0.0000000152 	 1.33 	 0.560780796258255 	 0.560780678905704 	 1.17352550454974E-07 
 412.742609 	 1.57 	 0.0000000152 	 1.33 	 0.559568818677968 	 0.559568701462898 	 1.17215070094545E-07 
 413.160351 	 1.57 	 0.0000000152 	 1.33 	 0.558360034184748 	 0.55835991710689 	 1.17077858186043E-07 
 413.578516 	 1.57 	 0.0000000152 	 1.33 	 0.557154426107697 	 0.557154309166781 	 1.16940916061736E-07 
 413.997104 	 1.57 	 0.0000000152 	 1.33 	 0.555951977494104 	 0.55595186068986 	 1.1680424449878E-07 
 414.416116 	 1.57 	 0.0000000152 	 1.33 	 0.554752671116144 	 0.554752554448298 	 1.16667845939666E-07 
 414.835551 	 1.57 	 0.0000000152 	 1.33 	 0.553556489477632 	 0.55355637294591 	 1.1653172116155E-07 
 415.255412 	 1.57 	 0.0000000152 	 1.33 	 0.552363414820845 	 0.552363298424973 	 1.16395871496699E-07 
 415.675697 	 1.57 	 0.0000000152 	 1.33 	 0.551173429133375 	 0.551173312873077 	 1.16260298388404E-07 
 416.096408 	 1.57 	 0.0000000152 	 1.33 	 0.549986514155039 	 0.549986398030035 	 1.1612500305791E-07 
