MiePlot v4.6.21

Date & Time: 10/3/2023 5:54:39 PM 

Calculation Method:         Mie (plane wave)

Graph type: Intensity v. wavelength (Watts/sq. m.)
   Incident power density: 1 Watts/sq. m.
   Measurement distance: 1 m.

Radius: 0.152 um

Scattering angle = 50

Wavelength (nm)	RI (Real + Imag)		Medium RI	Perpendicular	Parallel	Unpolarised
 400 	 0 	 0 	 0 	 2.43102431503728E-17 	 1.02725354495551E-17 	 1.72913892999639E-17 
 400.1 	 0 	 0 	 0 	 2.42771964351129E-17 	 1.0258320547417E-17 	 1.7267758491265E-17 
 400.2 	 0 	 0 	 0 	 2.42441833197138E-17 	 1.02441208602677E-17 	 1.72441520899907E-17 
 400.3 	 0 	 0 	 0 	 2.42112038097577E-17 	 1.02299363873985E-17 	 1.72205700985781E-17 
 400.4 	 0 	 0 	 0 	 2.41782579106412E-17 	 1.02157671280306E-17 	 1.71970125193359E-17 
 400.5 	 0 	 0 	 0 	 2.41453456275754E-17 	 1.02016130813146E-17 	 1.7173479354445E-17 
 400.6 	 0 	 0 	 0 	 2.41124669655818E-17 	 1.01874742463288E-17 	 1.71499706059553E-17 
 400.7 	 0 	 0 	 0 	 2.40796219294954E-17 	 1.01733506220808E-17 	 1.71264862757881E-17 
 400.8 	 0 	 0 	 0 	 2.40468105239682E-17 	 1.01592422075087E-17 	 1.71030263657384E-17 
 400.9 	 0 	 0 	 0 	 2.40140327534683E-17 	 1.01451490014814E-17 	 1.70795908774748E-17 
 401 	 0 	 0 	 0 	 2.39812886222765E-17 	 1.01310710027953E-17 	 1.70561798125359E-17 
 401.1 	 0 	 0 	 0 	 2.39485781344937E-17 	 1.01170082101795E-17 	 1.70327931723366E-17 
 401.2 	 0 	 0 	 0 	 2.39159012940391E-17 	 1.01029606222942E-17 	 1.70094309581667E-17 
 401.3 	 0 	 0 	 0 	 2.38832581046483E-17 	 1.00889282377295E-17 	 1.69860931711889E-17 
 401.4 	 0 	 0 	 0 	 2.38506485698796E-17 	 1.00749110550085E-17 	 1.69627798124441E-17 
 401.5 	 0 	 0 	 0 	 2.3818072693107E-17 	 1.00609090725846E-17 	 1.69394908828458E-17 
 401.6 	 0 	 0 	 0 	 2.3785530477531E-17 	 1.00469222888447E-17 	 1.69162263831879E-17 
 401.7 	 0 	 0 	 0 	 2.37530219261715E-17 	 1.00329507021081E-17 	 1.68929863141398E-17 
