MiePlot v4.6.21

Date & Time: 9/27/2023 6:50:16 PM 

Calculation Method:         Mie (plane wave)

Graph type: Intensity v. wavelength (Watts/sq. m.)
   Incident power density: 1 Watts/sq. m.
   Measurement distance: 1 m.

Radius: 0.152 um

Scattering angle = 0

Wavelength (nm)	RI (Real + Imag)		Medium RI	Perpendicular	Parallel	Unpolarised
 400 	 0 	 0 	 0 	 3.93030248726228E-14 	 3.93030248726228E-14 	 3.93030248726228E-14 
 400.1 	 0 	 0 	 0 	 3.92638455852185E-14 	 3.92638455852185E-14 	 3.92638455852185E-14 
 400.2 	 0 	 0 	 0 	 3.92247151336263E-14 	 3.92247151336263E-14 	 3.92247151336263E-14 
 400.3 	 0 	 0 	 0 	 3.91856334594549E-14 	 3.91856334594549E-14 	 3.91856334594549E-14 
 400.4 	 0 	 0 	 0 	 3.91466005043393E-14 	 3.91466005043393E-14 	 3.91466005043393E-14 
 400.5 	 0 	 0 	 0 	 3.91076162099359E-14 	 3.91076162099359E-14 	 3.91076162099359E-14 
 400.6 	 0 	 0 	 0 	 3.90686805179207E-14 	 3.90686805179207E-14 	 3.90686805179207E-14 
 400.7 	 0 	 0 	 0 	 3.90297933700017E-14 	 3.90297933700017E-14 	 3.90297933700017E-14 
 400.8 	 0 	 0 	 0 	 3.89909547079032E-14 	 3.89909547079032E-14 	 3.89909547079032E-14 
 400.9 	 0 	 0 	 0 	 3.89521644733776E-14 	 3.89521644733776E-14 	 3.89521644733776E-14 
 401 	 0 	 0 	 0 	 3.89134226081964E-14 	 3.89134226081964E-14 	 3.89134226081964E-14 
 401.1 	 0 	 0 	 0 	 3.88747290541571E-14 	 3.88747290541571E-14 	 3.88747290541571E-14 
 401.2 	 0 	 0 	 0 	 3.88360837530805E-14 	 3.88360837530805E-14 	 3.88360837530805E-14 
 401.3 	 0 	 0 	 0 	 3.87974866468109E-14 	 3.87974866468109E-14 	 3.87974866468109E-14 
 401.4 	 0 	 0 	 0 	 3.87589376772152E-14 	 3.87589376772152E-14 	 3.87589376772152E-14 
 401.5 	 0 	 0 	 0 	 3.87204367861797E-14 	 3.87204367861797E-14 	 3.87204367861797E-14 
 401.6 	 0 	 0 	 0 	 3.8681983915621E-14 	 3.8681983915621E-14 	 3.8681983915621E-14 
 401.7 	 0 	 0 	 0 	 3.86435790074708E-14 	 3.86435790074708E-14 	 3.86435790074708E-14 
 401.8 	 0 	 0 	 0 	 3.86052220036894E-14 	 3.86052220036894E-14 	 3.86052220036894E-14 
 401.9 	 0 	 0 	 0 	 3.85669128462612E-14 	 3.85669128462612E-14 	 3.85669128462612E-14 
 402 	 0 	 0 	 0 	 3.85286514771854E-14 	 3.85286514771854E-14 	 3.85286514771854E-14 
 402.1 	 0 	 0 	 0 	 3.84904378384932E-14 	 3.84904378384932E-14 	 3.84904378384932E-14 
 402.2 	 0 	 0 	 0 	 3.84522718722309E-14 	 3.84522718722309E-14 	 3.84522718722309E-14 
 402.3 	 0 	 0 	 0 	 3.84141535204748E-14 	 3.84141535204748E-14 	 3.84141535204748E-14 
 402.4 	 0 	 0 	 0 	 3.8376082725316E-14 	 3.8376082725316E-14 	 3.8376082725316E-14 
 402.5 	 0 	 0 	 0 	 3.83380594288769E-14 	 3.83380594288769E-14 	 3.83380594288769E-14 
 402.6 	 0 	 0 	 0 	 3.83000835732953E-14 	 3.83000835732953E-14 	 3.83000835732953E-14 
 402.7 	 0 	 0 	 0 	 3.82621551007366E-14 	 3.82621551007366E-14 	 3.82621551007366E-14 
 402.8 	 0 	 0 	 0 	 3.82242739533832E-14 	 3.82242739533832E-14 	 3.82242739533832E-14 
 402.9 	 0 	 0 	 0 	 3.81864400734493E-14 	 3.81864400734493E-14 	 3.81864400734493E-14 
 403 	 0 	 0 	 0 	 3.81486534031585E-14 	 3.81486534031585E-14 	 3.81486534031585E-14 
 403.1 	 0 	 0 	 0 	 3.81109138847706E-14 	 3.81109138847706E-14 	 3.81109138847706E-14 
 403.2 	 0 	 0 	 0 	 3.80732214605596E-14 	 3.80732214605596E-14 	 3.80732214605596E-14 
 403.3 	 0 	 0 	 0 	 3.80355760728256E-14 	 3.80355760728256E-14 	 3.80355760728256E-14 
 403.4 	 0 	 0 	 0 	 3.79979776638885E-14 	 3.79979776638885E-14 	 3.79979776638885E-14 
 403.5 	 0 	 0 	 0 	 3.79604261760909E-14 	 3.79604261760909E-14 	 3.79604261760909E-14 
 403.6 	 0 	 0 	 0 	 3.79229215518029E-14 	 3.79229215518029E-14 	 3.79229215518029E-14 
 403.7 	 0 	 0 	 0 	 3.78854637334099E-14 	 3.78854637334099E-14 	 3.78854637334099E-14 
 403.8 	 0 	 0 	 0 	 3.78480526633244E-14 	 3.78480526633244E-14 	 3.78480526633244E-14 
 403.9 	 0 	 0 	 0 	 3.78106882839831E-14 	 3.78106882839831E-14 	 3.78106882839831E-14 
 404 	 0 	 0 	 0 	 3.77733705378398E-14 	 3.77733705378398E-14 	 3.77733705378398E-14 
 404.1 	 0 	 0 	 0 	 3.77360993673729E-14 	 3.77360993673729E-14 	 3.77360993673729E-14 
 404.2 	 0 	 0 	 0 	 3.76988747150854E-14 	 3.76988747150854E-14 	 3.76988747150854E-14 
 404.3 	 0 	 0 	 0 	 3.76616965235016E-14 	 3.76616965235016E-14 	 3.76616965235016E-14 
