MiePlot v4.6.21

Date & Time: 10/4/2023 4:57:54 PM 

Calculation Method:         Mie (plane wave)

Graph type: Qext/Qsca/Qabs v. wavelength

Radius: 1 um

Wavelength (nm)	RI (Real + Imag)		Medium RI	Qext	Qsca	Qabs
 200 	 1.57 	 0 	 1.33 	 2.03444062912886 	 2.03444062912886 	 0 
 200.322147 	 1.57 	 0 	 1.33 	 2.04065488757139 	 2.04065488757139 	 0 
 200.644812 	 1.57 	 0 	 1.33 	 2.0357264188502 	 2.0357264188502 	-4.44089209850063E-16 
 200.967998 	 1.57 	 0 	 1.33 	 2.02893269539028 	 2.02893269539028 	 4.44089209850063E-16 
 201.291704 	 1.57 	 0 	 1.33 	 2.02352186816476 	 2.02352186816476 	 0 
 201.615931 	 1.57 	 0 	 1.33 	 2.00433278823327 	 2.00433278823327 	 0 
 201.940681 	 1.57 	 0 	 1.33 	 1.96870115153103 	 1.96870115153103 	 0 
 202.265953 	 1.57 	 0 	 1.33 	 1.9371456105133 	 1.9371456105133 	-4.44089209850063E-16 
 202.59175 	 1.57 	 0 	 1.33 	 1.91883307602385 	 1.91883307602385 	 0 
 202.918071 	 1.57 	 0 	 1.33 	 1.91182453882202 	 1.91182453882202 	 0 
 203.244918 	 1.57 	 0 	 1.33 	 1.91321951956164 	 1.91321951956164 	 0 
 203.572292 	 1.57 	 0 	 1.33 	 1.92133802391955 	 1.92133802391955 	 0 
 203.900192 	 1.57 	 0 	 1.33 	 1.93483454352634 	 1.93483454352634 	 0 
 204.228621 	 1.57 	 0 	 1.33 	 1.95070497054434 	 1.95070497054434 	 0 
 204.557579 	 1.57 	 0 	 1.33 	 1.9626088600906 	 1.9626088600906 	 0 
 204.887067 	 1.57 	 0 	 1.33 	 1.96479912193286 	 1.96479912193286 	 0 
 205.217086 	 1.57 	 0 	 1.33 	 1.9605299622471 	 1.9605299622471 	 6.66133814775094E-16 
 205.547636 	 1.57 	 0 	 1.33 	 1.95646332956061 	 1.95646332956061 	 0 
 205.878718 	 1.57 	 0 	 1.33 	 1.94649097477349 	 1.94649097477349 	 0 
 206.210334 	 1.57 	 0 	 1.33 	 1.91967606070462 	 1.91967606070462 	 0 
