MiePlot v4.6.21

Date & Time: 10/8/2023 11:25:20 PM 

Calculation Method:         Mie (plane wave)

Graph type: Cext/Csca/Cabs v. wavelength

Radius: 1 um

Wavelength (nm)	RI (Real + Imag)		Medium RI	Cext m^2	Csca m^2	Cabs m^2
 700 	 1.33141393979603 	 3.37869171097026E-08 	 1 	 8.70591530367057E-12 	 8.7059108411656E-12 	 4.462504968487E-18 
 700.093478 	 1.33141192833788 	 3.3930378192542E-08 	 1 	 8.7068988451259E-12 	 8.70689436442629E-12 	 4.48069961385367E-18 
 700.186969 	 1.33140991710618 	 3.40738584332185E-08 	 1 	 8.70785867770855E-12 	 8.70785417883498E-12 	 4.49887356678033E-18 
 700.280472 	 1.33140790610077 	 3.42173578342905E-08 	 1 	 8.70879494779368E-12 	 8.70879043076708E-12 	 4.51702659946919E-18 
 700.373988 	 1.33140589532147 	 3.43608763983167E-08 	 1 	 8.70970780551759E-12 	 8.70970327035908E-12 	 4.53515851158745E-18 
 700.467516 	 1.3314038847681 	 3.45044141278565E-08 	 1 	 8.71059740476051E-12 	 8.71059285149143E-12 	 4.55326908018409E-18 
 700.561057 	 1.33140187444048 	 3.46479710254687E-08 	 1 	 8.71146390312819E-12 	 8.71145933177009E-12 	 4.57135810331071E-18 
 700.65461 	 1.33139986433843 	 3.47915470937133E-08 	 1 	 8.71230746193201E-12 	 8.71230287250663E-12 	 4.58942537578774E-18 
 700.748175 	 1.33139785446179 	 3.49351423351505E-08 	 1 	 8.71312824616804E-12 	 8.71312363869735E-12 	 4.60747068597328E-18 
 700.841753 	 1.33139584481036 	 3.50787567523403E-08 	 1 	 8.71392642449456E-12 	 8.71392179900072E-12 	 4.6254938351501E-18 
 700.935344 	 1.33139383538398 	 3.52223903478439E-08 	 1 	 8.71470216920846E-12 	 8.71469752571383E-12 	 4.64349462621658E-18 
 701.028947 	 1.33139182618247 	 3.53660431242219E-08 	 1 	 8.71545565622028E-12 	 8.71545099474742E-12 	 4.66147286207107E-18 
 701.122563 	 1.33138981720565 	 3.55097150840361E-08 	 1 	 8.71618706502799E-12 	 8.71618238559963E-12 	 4.67942835692108E-18 
 701.216191 	 1.33138780845334 	 3.56534062298479E-08 	 1 	 8.71689657868944E-12 	 8.71689188132853E-12 	 4.69736091043378E-18 
 701.309832 	 1.33138579992538 	 3.57971165642198E-08 	 1 	 8.71758438379369E-12 	 8.71757966852334E-12 	 4.71527034974135E-18 
 701.403485 	 1.33138379162157 	 3.5940846089714E-08 	 1 	 8.71825067043087E-12 	 8.71824593727439E-12 	 4.73315647935776E-18 
 701.49715 	 1.33138178354174 	 3.60845948088935E-08 	 1 	 8.718895632161E-12 	 8.71889088114188E-12 	 4.75101912641518E-18 
 701.590829 	 1.33137977568572 	 3.62283627243212E-08 	 1 	 8.71951946598141E-12 	 8.7195146971233E-12 	 4.76885810996785E-18 
 701.684519 	 1.33137776805334 	 3.63721498385607E-08 	 1 	 8.72012237229305E-12 	 8.72011758561979E-12 	 4.78667325876353E-18 
 701.778222 	 1.3313757606444 	 3.65159561541755E-08 	 1 	 8.72070455486547E-12 	 8.72069975040107E-12 	 4.80446439831881E-18 
 701.871938 	 1.33137375345875 	 3.66597816737304E-08 	 1 	 8.72126622080076E-12 	 8.72126139856939E-12 	 4.82223136869057E-18 
 701.965666 	 1.33137174649619 	 3.68036263997892E-08 	 1 	 8.72180758049609E-12 	 8.72180274052208E-12 	 4.83997400185775E-18 
 702.059407 	 1.33136973975655 	 3.69474903349173E-08 	 1 	 8.72232884760522E-12 	 8.72232398991308E-12 	 4.85769213787721E-18 
 702.15316 	 1.33136773323967 	 3.70913734816795E-08 	 1 	 8.72283023899886E-12 	 8.72282536361324E-12 	 4.87538562488378E-18 
 702.246926 	 1.33136572694535 	 3.72352758426415E-08 	 1 	 8.72331197472379E-12 	 8.72330708166949E-12 	 4.89305430131872E-18 
 702.340704 	 1.33136372087342 	 3.73791974203691E-08 	 1 	 8.72377427796091E-12 	 8.72376936726288E-12 	 4.91069802662598E-18 
 702.434495 	 1.33136171502371 	 3.75231382174287E-08 	 1 	 8.72421737498212E-12 	 8.72421244666547E-12 	 4.92831665055593E-18 
 702.528298 	 1.33135970939605 	 3.76670982363867E-08 	 1 	 8.72464149510621E-12 	 8.72463654919618E-12 	 4.94591003416809E-18 
 702.622114 	 1.33135770399024 	 3.78110774798101E-08 	 1 	 8.72504687065365E-12 	 8.72504190717561E-12 	 4.96347804013755E-18 
 702.715942 	 1.33135569880612 	 3.79550759502662E-08 	 1 	 8.72543373690016E-12 	 8.72542875587963E-12 	 4.98102053275499E-18 
 702.809783 	 1.33135369384351 	 3.80990936503219E-08 	 1 	 8.72580233202952E-12 	 8.72579733349214E-12 	 4.99853738277344E-18 
 702.903637 	 1.33135168910224 	 3.82431305825461E-08 	 1 	 8.72615289708512E-12 	 8.72614788105666E-12 	 5.01602846094594E-18 
 702.997503 	 1.33134968458212 	 3.83871867495065E-08 	 1 	 8.72648567592066E-12 	 8.72648064242702E-12 	 5.03349364771902E-18 
 703.091381 	 1.33134768028298 	 3.85312621537719E-08 	 1 	 8.72680091514986E-12 	 8.72679586421704E-12 	 5.05093282030808E-18 
 703.185272 	 1.33134567620465 	 3.86753567979113E-08 	 1 	 8.72709886409509E-12 	 8.72709379574922E-12 	 5.06834586723759E-18 
 703.279176 	 1.33134367234694 	 3.88194706844938E-08 	 1 	 8.72737977473536E-12 	 8.72737468900268E-12 	 5.0857326834944E-18 
 703.373092 	 1.33134166870969 	 3.8963603816089E-08 	 1 	 8.72764390165309E-12 	 8.72763879855993E-12 	 5.10309315114064E-18 
 703.467021 	 1.33133966529271 	 3.91077561952673E-08 	 1 	 8.72789150198014E-12 	 8.72788638155296E-12 	 5.12042718131902E-18 
 703.560962 	 1.33133766209582 	 3.92519278245985E-08 	 1 	 8.72812283534315E-12 	 8.72811769760849E-12 	 5.13773466093845E-18 
 703.654916 	 1.33133565911886 	 3.93961187066537E-08 	 1 	 8.72833816380771E-12 	 8.7283330087922E-12 	 5.15501551245073E-18 
 703.748882 	 1.33133365636164 	 3.95403288440039E-08 	 1 	 8.72853775182204E-12 	 8.72853257955241E-12 	 5.17226963245829E-18 
 703.842861 	 1.331331653824 	 3.968455823922E-08 	 1 	 8.72872186615973E-12 	 8.72871667666279E-12 	 5.18949694179737E-18 
 703.936852 	 1.33132965150574 	 3.98288068948744E-08 	 1 	 8.7288907758618E-12 	 8.72888556916445E-12 	 5.20669735807302E-18 
 704.030856 	 1.3313276494067 	 3.99730748135384E-08 	 1 	 8.72904475217801E-12 	 8.7290395283072E-12 	 5.22387080373705E-18 
 704.124873 	 1.3313256475267 	 4.0117361997785E-08 	 1 	 8.72918406850748E-12 	 8.72917882749027E-12 	 5.24101720931923E-18 
 704.218902 	 1.33132364586556 	 4.02616684501864E-08 	 1 	 8.72930900033873E-12 	 8.72930374220223E-12 	 5.2581365053493E-18 
 704.312943 	 1.33132164442311 	 4.04059941733161E-08 	 1 	 8.72941982518891E-12 	 8.72941454996028E-12 	 5.2752286239726E-18 
 704.406997 	 1.33131964319916 	 4.05503391697472E-08 	 1 	 8.72951682254259E-12 	 8.72951153024908E-12 	 5.292293507028E-18 
 704.501064 	 1.33131764219356 	 4.06947034420538E-08 	 1 	 8.72960027378996E-12 	 8.72959496445885E-12 	 5.30933110443229E-18 
 704.595143 	 1.33131564140611 	 4.08390869928097E-08 	 1 	 8.72967046216436E-12 	 8.729665135823E-12 	 5.32634135802434E-18 
 704.689235 	 1.33131364083664 	 4.09834898245898E-08 	 1 	 8.72972767267943E-12 	 8.72972232935521E-12 	 5.34332422741448E-18 
 704.78334 	 1.33131164048497 	 4.11527459079549E-08 	 1 	 8.72977219183349E-12 	 8.72976682831718E-12 	 5.36351631685883E-18 
