MiePlot v4.6.21

Date & Time: 10/4/2023 5:27:05 PM 

Calculation Method:         Mie (plane wave)

Graph type: Phase function

Radius = 1 umWavelength = 0.785 umSize parameter x = 10.645397
Refractive index (sphere): 1.57 + i 0
Refractive index (medium): 1.33

Qext =  3.60578882669806 
Qsca =  3.60578882669806 
Qabs =  0 

Point source of light

Angle	Perpendicular	Parallel	Unpolarised
theta	S1 phase function	S2 phase function	Unpolarised phase function
 0 	 106.049838822025 	 106.049838822025 	 106.049838822025 
 0.1 	 106.040631846353 	 106.040707677386 	 106.040669761869 
 0.2 	 106.013015037705 	 106.013318367227 	 106.013166702466 
 0.3 	 105.967000748573 	 105.96768326014 	 105.967342004357 
 0.4 	 105.902609557732 	 105.90382296152 	 105.903216259626 
 0.5 	 105.819870257176 	 105.821766300172 	 105.820818278674 
 0.6 	 105.718819833849 	 105.721550309591 	 105.72018507172 
 0.7 	 105.599503446177 	 105.603220203909 	 105.601361825043 
 0.8 	 105.461974395422 	 105.466829348543 	 105.464401871983 
 0.9 	 105.306294091876 	 105.312439225554 	 105.309366658715 
 1 	 105.132532015933 	 105.140119393757 	 105.136325704845 
 1.1 	 104.940765674056 	 104.949947443608 	 104.945356558832 
 1.2 	 104.731080549673 	 104.742008946901 	 104.736544748287 
 1.3 	 104.503570049057 	 104.516397401324 	 104.509983725191 
 1.4 	 104.258335442206 	 104.273214169907 	 104.265774806056 
 1.5 	 103.995485798789 	 104.012568415419 	 104.004027107104 
 1.6 	 103.715137919201 	 103.734577029765 	 103.724857474483 
 1.7 	 103.417416260772 	 103.439364558429 	 103.428390409601 
 1.8 	 103.102452859202 	 103.127063120046 	 103.114757989624 
 1.9 	 102.770387245264 	 102.797812321133 	 102.784099783199 
 2 	 102.42136635686 	 102.451759166085 	 102.436562761473 
 2.1 	 102.055544446477 	 102.089057962473 	 102.072301204475 
 2.2 	 101.67308298413 	 101.709870221744 	 101.691476602937 
 2.3 	 101.274150555849 	 101.314364555386 	 101.294257555618 
 2.4 	 100.858922757813 	 100.90271656665 	 100.880819662232 
 2.5 	 100.427582086183 	 100.475108737909 	 100.451345412046 
 2.6 	 99.9803178227404 	 100.031730313745 	 100.006024068243 
 2.7 	 99.5173259164064 	 99.5727771798536 	 99.54505154813 
 2.8 	 99.038808860738 	 99.0984517378692 	 99.0686302993036 
 2.9 	 98.5449755674901 	 98.608962776199 	 98.5769691718445 
 3 	 98.036041236342 	 98.1045253369745 	 98.0702832866583 
 3.1 	 97.5122272208911 	 97.5853605792258 	 97.5487939000584 
 3.2 	 96.9737608910041 	 97.0516956383769 	 97.0127282646905 
 3.3 	 96.4208754916439 	 96.5037634821842 	 96.462319486914 
 3.4 	 95.8538099982723 	 95.941802763225 	 95.8978063807487 
 3.5 	 95.2728089689342 	 95.3660576680469 	 95.3194333184906 
 3.6 	 94.6781223931445 	 94.7767777631066 	 94.7274500781255 
 3.7 	 94.0700055376844 	 94.1742178376091 	 94.1221116876468 
 3.8 	 93.4487187894239 	 93.558637743371 	 93.5036782663974 
 3.9 	 92.8145274952937 	 92.9303022318382 	 92.872414863566 
 4 	 92.1677017995204 	 92.2894807883753 	 92.2285912939479 
 4.1 	 91.5085164782537 	 91.6364474639655 	 91.5724819711096 
 4.2 	 90.8372507717015 	 90.9714807044385 	 90.90436573807 
 4.3 	 90.1541882139069 	 90.2948631773716 	 90.2245256956392 
 4.4 	 89.4596164602892 	 89.606881596787 	 89.5332490285381 
 4.5 	 88.753827113076 	 88.9078265457841 	 88.8308268294301 
 4.6 	 88.0371155447626 	 88.1979922972436 	 88.1175539210031 
 4.7 	 87.3097807197228 	 87.4776766327383 	 87.3937286762305 
 4.8 	 86.5721250141074 	 86.7471806597898 	 86.6596528369486 
 4.9 	 85.8244540341623 	 86.0068086276115 	 85.9156313308869 
 5 	 85.0670764331027 	 85.2568677414774 	 85.1619720872901 
 5.1 	 84.3003037266704 	 84.4976679758516 	 84.398985851261 
 5.2 	 83.5244501075233 	 83.729521886435 	 83.6269859969791 
 5.3 	 82.7398322585756 	 82.9527444212481 	 82.8462883399119 
 5.4 	 81.9467691654443 	 82.1676527309169 	 82.0572109481806 
 5.5 	 81.1455819281223 	 81.3745659782836 	 81.260073953203 
 5.6 	 80.3365935720231 	 80.573805147496 	 80.4551993597595 
 5.7 	 79.5201288585374 	 79.7656928527154 	 79.6429108556264 
 5.8 	 78.6965140952266 	 78.9505531465813 	 78.823533620904 
 5.9 	 77.8660769458047 	 78.1287113285814 	 77.997394137193 
 6 	 77.0291462400342 	 77.3004937534619 	 77.164819996748 
 6.1 	 76.1860517836756 	 76.4662276398213 	 76.3261397117484 
 6.2 	 75.3371241686309 	 75.6262408790321 	 75.4816825238315 
 6.3 	 74.4826945834085 	 74.780861844622 	 74.6317782140152 
 6.4 	 73.6230946240475 	 73.930419202257 	 73.7767569131522 
