MiePlot v4.6.21

Date & Time: 9/27/2023 6:18:38 PM 

Calculation Method:         Mie (plane wave)

Graph type: Phase function

Radius = 0.152 umWavelength = 0.6328 umSize parameter x = 2.007283
Refractive index (sphere): 1.57 + i 0
Refractive index (medium): 1.33

Qext =  0.196082579037516 
Qsca =  0.196082579037516 
Qabs =  0 

Point source of light

Angle	Perpendicular	Parallel	Unpolarised
theta	S1 phase function	S2 phase function	Unpolarised phase function
 0 	 5.49956732510641 	 5.49956732510641 	 5.49956732510641 
 0.1 	 5.49955277315588 	 5.49953879621398 	 5.49954578468493 
 0.2 	 5.49950911753882 	 5.49945321036647 	 5.49948116395264 
 0.3 	 5.49943635895882 	 5.49931057005312 	 5.49937346450597 
 0.4 	 5.49933449858851 	 5.49911087942258 	 5.49922268900555 
 0.5 	 5.49920353806954 	 5.49885414428269 	 5.49902884117611 
 0.6 	 5.49904347951249 	 5.49854037210017 	 5.49879192580633 
 0.7 	 5.49885432549687 	 5.49816957200036 	 5.49851194874861 
 0.8 	 5.49863607907101 	 5.49774175476672 	 5.49818891691886 
 0.9 	 5.49838874375199 	 5.49725693284039 	 5.49782283829619 
 1 	 5.49811232352554 	 5.49671512031962 	 5.49741372192258 
 1.1 	 5.49780682284592 	 5.49611633295904 	 5.49696157790248 
 1.2 	 5.49747224663583 	 5.49546058816903 	 5.49646641740243 
 1.3 	 5.49710860028623 	 5.49474790501488 	 5.49592825265055 
 1.4 	 5.49671588965621 	 5.49397830421589 	 5.49534709693605 
 1.5 	 5.49629412107283 	 5.49315180814448 	 5.49472296460866 
 1.6 	 5.49584330133097 	 5.49226844082507 	 5.49405587107802 
 1.7 	 5.49536343769307 	 5.49132822793304 	 5.49334583281305 
 1.8 	 5.49485453788901 	 5.49033119679353 	 5.49259286734127 
 1.9 	 5.49431661011586 	 5.48927737638021 	 5.49179699324803 
 2 	 5.49374966303762 	 5.48816679731387 	 5.49095823017574 
 2.1 	 5.49315370578506 	 5.4869994918611 	 5.49007659882308 
 2.2 	 5.49252874795539 	 5.48577549393274 	 5.48915212094406 
 2.3 	 5.49187479961204 	 5.48449483908236 	 5.4881848193472 
 2.4 	 5.49119187128437 	 5.48315756450461 	 5.48717471789449 
 2.5 	 5.49047997396738 	 5.48176370903349 	 5.48612184150044 
 2.6 	 5.48973911912139 	 5.4803133131406 	 5.485026216131 
 2.7 	 5.48896931867175 	 5.47880641893328 	 5.48388786880251 
 2.8 	 5.48817058500848 	 5.47724307015261 	 5.48270682758055 
