MiePlot v4.6.21

Date & Time: 10/3/2023 5:58:43 PM 

Calculation Method:         Mie (plane wave)

Graph type: Intensity v. wavelength (|S(theta)|^2)

Radius: 0.152 um

Scattering angle = 0

Wavelength (nm)	RI (Real + Imag)		Medium RI	Perpendicular	Parallel	Unpolarised
 400 	 0 	 0 	 0 	 5.49999701772845E-02 	 5.49999701772845E-02 	 5.49999701772845E-02 
 400.1 	 0 	 0 	 0 	 5.48449233837551E-02 	 5.48449233837551E-02 	 5.48449233837551E-02 
 400.2 	 0 	 0 	 0 	 5.46903450705136E-02 	 5.46903450705136E-02 	 5.46903450705136E-02 
 400.3 	 0 	 0 	 0 	 5.45362337133391E-02 	 5.45362337133391E-02 	 5.45362337133391E-02 
 400.4 	 0 	 0 	 0 	 5.43825877934281E-02 	 5.43825877934281E-02 	 5.43825877934281E-02 
 400.5 	 0 	 0 	 0 	 5.42294057972323E-02 	 5.42294057972323E-02 	 5.42294057972323E-02 
 400.6 	 0 	 0 	 0 	 5.40766862164094E-02 	 5.40766862164094E-02 	 5.40766862164094E-02 
 400.7 	 0 	 0 	 0 	 5.39244275480996E-02 	 5.39244275480996E-02 	 5.39244275480996E-02 
 400.8 	 0 	 0 	 0 	 5.37726282945439E-02 	 5.37726282945439E-02 	 5.37726282945439E-02 
 400.9 	 0 	 0 	 0 	 5.36212869633308E-02 	 5.36212869633308E-02 	 5.36212869633308E-02 
 401 	 0 	 0 	 0 	 5.34704020671623E-02 	 5.34704020671623E-02 	 5.34704020671623E-02 
 401.1 	 0 	 0 	 0 	 5.33199721240092E-02 	 5.33199721240092E-02 	 5.33199721240092E-02 
 401.2 	 0 	 0 	 0 	 5.31699956570344E-02 	 5.31699956570344E-02 	 5.31699956570344E-02 
 401.3 	 0 	 0 	 0 	 5.30204711945714E-02 	 5.30204711945714E-02 	 5.30204711945714E-02 
 401.4 	 0 	 0 	 0 	 0.052871397270082 	 0.052871397270082 	 0.052871397270082 
 401.5 	 0 	 0 	 0 	 5.27227724220496E-02 	 5.27227724220496E-02 	 5.27227724220496E-02 
 401.6 	 0 	 0 	 0 	 5.25745951942672E-02 	 5.25745951942672E-02 	 5.25745951942672E-02 
 401.7 	 0 	 0 	 0 	 5.24268641354003E-02 	 5.24268641354003E-02 	 5.24268641354003E-02 
 401.8 	 0 	 0 	 0 	 0.052279577799329 	 0.052279577799329 	 0.052279577799329 
 401.9 	 0 	 0 	 0 	 5.21327347450173E-02 	 5.21327347450173E-02 	 5.21327347450173E-02 
 402 	 0 	 0 	 0 	 5.19863335362409E-02 	 5.19863335362409E-02 	 5.19863335362409E-02 
 402.1 	 0 	 0 	 0 	 5.18403727420294E-02 	 5.18403727420294E-02 	 5.18403727420294E-02 
 402.2 	 0 	 0 	 0 	 5.16948509362025E-02 	 5.16948509362025E-02 	 5.16948509362025E-02 
 402.3 	 0 	 0 	 0 	 5.15497666977511E-02 	 5.15497666977511E-02 	 5.15497666977511E-02 
 402.4 	 0 	 0 	 0 	 5.14051186103906E-02 	 5.14051186103906E-02 	 5.14051186103906E-02 
 402.5 	 0 	 0 	 0 	 5.12609052630217E-02 	 5.12609052630217E-02 	 5.12609052630217E-02 
 402.6 	 0 	 0 	 0 	 5.11171252492587E-02 	 5.11171252492587E-02 	 5.11171252492587E-02 
 402.7 	 0 	 0 	 0 	 5.09737771677453E-02 	 5.09737771677453E-02 	 5.09737771677453E-02 
 402.8 	 0 	 0 	 0 	 5.08308596218601E-02 	 5.08308596218601E-02 	 5.08308596218601E-02 
 402.9 	 0 	 0 	 0 	 5.06883712200829E-02 	 5.06883712200829E-02 	 5.06883712200829E-02 
 403 	 0 	 0 	 0 	 0.050546310575396 	 0.050546310575396 	 0.050546310575396 
 403.1 	 0 	 0 	 0 	 5.04046763059593E-02 	 5.04046763059593E-02 	 5.04046763059593E-02 
 403.2 	 0 	 0 	 0 	 5.02634670345228E-02 	 5.02634670345228E-02 	 5.02634670345228E-02 
 403.3 	 0 	 0 	 0 	 5.01226813887125E-02 	 5.01226813887125E-02 	 5.01226813887125E-02 
 403.4 	 0 	 0 	 0 	 4.99823180008741E-02 	 4.99823180008741E-02 	 4.99823180008741E-02 
 403.5 	 0 	 0 	 0 	 4.98423755080878E-02 	 4.98423755080878E-02 	 4.98423755080878E-02 
 403.6 	 0 	 0 	 0 	 4.97028525523156E-02 	 4.97028525523156E-02 	 4.97028525523156E-02 
 403.7 	 0 	 0 	 0 	 4.95637477800336E-02 	 4.95637477800336E-02 	 4.95637477800336E-02 
 403.8 	 0 	 0 	 0 	 4.94250598425603E-02 	 4.94250598425603E-02 	 4.94250598425603E-02 
 403.9 	 0 	 0 	 0 	 4.92867873959152E-02 	 4.92867873959152E-02 	 4.92867873959152E-02 
 404 	 0 	 0 	 0 	 4.91489291006654E-02 	 4.91489291006654E-02 	 4.91489291006654E-02 
 404.1 	 0 	 0 	 0 	 4.90114836220567E-02 	 4.90114836220567E-02 	 4.90114836220567E-02 
 404.2 	 0 	 0 	 0 	 4.88744496300404E-02 	 4.88744496300404E-02 	 4.88744496300404E-02 
 404.3 	 0 	 0 	 0 	 4.87378257991358E-02 	 4.87378257991358E-02 	 4.87378257991358E-02 
 404.4 	 0 	 0 	 0 	 4.86016108084545E-02 	 4.86016108084545E-02 	 4.86016108084545E-02 
