MiePlot v4.6.21

Date & Time: 10/8/2023 10:07:25 PM 

Calculation Method:         Mie (plane wave)

Graph type: Qext/Qsca/Qabs v. wavelength

Radius: 1 um

Wavelength (nm)	RI (Real + Imag)		Medium RI	Qext	Qsca	Qabs
 700 	 1.33141393979603 	 3.37869171097026E-08 	 1 	 2.7711789094371 	 2.77117748897765 	 1.42045944873104E-06 
 700.093478 	 1.33141192833788 	 3.3930378192542E-08 	 1 	 2.77149198040581 	 2.77149055415482 	 1.4262509844265E-06 
 700.186969 	 1.33140991710618 	 3.40738584332185E-08 	 1 	 2.77179750460594 	 2.77179607257001 	 1.43203593294672E-06 
 700.280472 	 1.33140790610077 	 3.42173578342905E-08 	 1 	 2.77209552863018 	 2.77209409081596 	 1.43781422279332E-06 
 700.373988 	 1.33140589532147 	 3.43608763983167E-08 	 1 	 2.77238610026838 	 2.77238465668259 	 1.44358578957338E-06 
 700.467516 	 1.3314038847681 	 3.45044141278565E-08 	 1 	 2.77266926850214 	 2.77266781915158 	 1.4493505626767E-06 
 700.561057 	 1.33140187444048 	 3.46479710254687E-08 	 1 	 2.77294508349894 	 2.77294362839046 	 1.45510847771035E-06 
 700.65461 	 1.33139986433843 	 3.47915470937133E-08 	 1 	 2.77321359660577 	 2.7732121357463 	 1.46085946894914E-06 
 700.748175 	 1.33139785446179 	 3.49351423351505E-08 	 1 	 2.77347486034252 	 2.77347339373905 	 1.46660346977967E-06 
 700.841753 	 1.33139584481036 	 3.50787567523403E-08 	 1 	 2.77372892839479 	 2.77372745605438 	 1.47234041580901E-06 
 700.935344 	 1.33139383538398 	 3.52223903478439E-08 	 1 	 2.77397585560638 	 2.77397437753613 	 1.47807024575286E-06 
 701.028947 	 1.33139182618247 	 3.53660431242219E-08 	 1 	 2.77421569797135 	 2.77421421417846 	 1.48379289655054E-06 
 701.122563 	 1.33138981720565 	 3.55097150840361E-08 	 1 	 2.77444851262569 	 2.77444702311738 	 1.48950830780592E-06 
 701.216191 	 1.33138780845334 	 3.56534062298479E-08 	 1 	 2.77467435783851 	 2.77467286262209 	 1.49521641690242E-06 
 701.309832 	 1.33138579992538 	 3.57971165642198E-08 	 1 	 2.77489329300296 	 2.7748917920858 	 1.5009171683289E-06 
 701.403485 	 1.33138379162157 	 3.5940846089714E-08 	 1 	 2.77510537862661 	 2.77510387201611 	 1.50661050035694E-06 
 701.49715 	 1.33138178354174 	 3.60845948088935E-08 	 1 	 2.77531067632152 	 2.77530916402516 	 1.51229635747541E-06 
